recipe_slug	rating
falafel	0.0
spamburger	0.0
bacon-fried-rice	0.0
chicken-fingers	0.0
apple-crisp	0.0
cranberry-apple-crisp	0.55
bacon-chocolate-chip-cookies	1.0
sujebi	0.66
pasta-primavera	0.25
ramen	0.44
brownies	1.0
bacon-wrapped-scallops	0.07
bacon-egg-muffins	0.34
breakfast-burritos	0.25
bolognese-sauce	0.0
croissants	0.8
bacon-souffle	0.79
souffle	0.96
chocolate-souffle	1.0
butter-croissants	0.28
pickled-green-beans	0.57
fried-oysters	0.5
peanut-butter-brownies	1.0
almond-chip-cookies	1.0
guacamole	0.12
brioche-bread	0.36
brioche-bread-with-chocolate	1.0
asparagus-quiche	0.46
asparagus-burger	0.84
ma-la-chicken	0.93
cold-noodles-with-tomatoes	0.07
tamales	0.55
enchiladas	0.06
tacos	0.51
burritos	0.79
peanut-butter-cupcakes	1.0
pickled-asparagus	0.28
chocolate-peanut-butter-cake	1.0
udon	0.54
vegetable-lasagna	0.58
maple-bacon-donuts	0.64
maple-bacon-pancakes	1.0
spinach-and-ricotta-stuffed-shells	0.34
quesadillas	0.36
pico-de-gallo	0.42
nachos	0.43
cold-soba-noodles-with-tomato-and-cucumber	0.75
fajitas	0.6
loaded-nachos	0.02
lasagna	0.42
chicken-nuggets	0.06
pain-au-chocolat	0.67
nacho-dip	0.81
nacho-salad	0.0
nacho-casserole	0.73
nacho-fries	0.37
tempura-udon	0.94
peach-crisp	0.7
apple-pie	0.23
blueberry-crisp	0.02
berry-crumble	0.06
strawberry-rhubarb-crisp	0.42
peach-cobbler	0.69
cranberry-sauce	0.75
cherry-cobbler	0.27
apple-crumble	0.98
chocolate-croissants	1.0
french-toast	0.25
chocolate-babka	1.0
cinnamon-babka	0.66
blueberry-crumble	0.37
spam-musubi	0.75
taco-salad	0.0
chiles-rellenos	0.33
almond-croissants	0.6
cranberry-relish	0.44
ma-la-beef	0.0
chocolate-cake	1.0
spinach-quiche	0.12
mushroom-quiche	0.44
quiche-lorraine	0.68
croissant-aux-amandes	0.75
danishes	0.84
spinach-and-feta-quiche	0.67
cold-sesame-noodles	0.62
soba-noodle-salad-with-peanut-dressing	0.0
dan-dan-noodles	0.87
vanilla-souffle	0.15
bacon-wrapped-dates	0.11
cherry-pie	0.01
berry-crisp	0.04
bacon-and-egg-breakfast-sandwich	0.59
bacon-wrapped-shrimp-skewers	0.7
bacon-wrapped-chicken	0.47
bacon-wrapped-asparagus	0.88
bacon-mac-and-cheese	0.26
chicken-alfredo-lasagna	0.81
classic-beef-lasagna	0.59
vegetarian-mushroom-lasagna	0.08
spinach-and-ricotta-lasagna	0.1
